name,Cactus?,New?,Family,Subfamily,Tribe,Genus,Subgenus,Species group,Species subgroup,Species,Stock ID,NDSSC ID,genome source,genome accession,citation,read type,assm size,genome N50,sample type,sex,#,stage,material provider,location,GPS,country,collection date,original source,comments
Drosophila pallidosa,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,pallidosa,nou 88,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"153,406,098","111,022",lab line,F,,adult,Zee Syed/DEP,,,,,Artyom Kopp,
Drosophila oshimai,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,suzukii,oshimai,MT-04,,NCBI GenBank,GCA_018150695.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"181,013,079","2,625,980",lab line,M,,adult,Artyom Kopp,"Dogo Park, Matsuyama, Ehime",,Japan,2013,Takehiro Katoh and Masayoshi Watada,
Drosophila ficusphila,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ficusphila,ficusphila,,14025-0441.05,NCBI RefSeq,GCF_018152265.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"167,832,931","9,958,166",lab line,F,,adult,Sarah Elgin,,,Taiwan,1961,NDSSC then inbred by A. Kopp,
Drosophila gunungcola,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,elegans,gunungcola,Sukarami,,NCBI RefSeq,GCF_025200985.1,"Negi et al. 2023, GBE",PB Sequel + Illumina,"189,841,955","19,454,640",lab line,M,,adult,,,,,,,
Drosophila elegans,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,elegans,elegans,,14027-0461.03,NCBI RefSeq,GCF_018152505.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"178,445,117","21,933,072",lab line,F,,adult,Sarah Elgin,,,Hong Kong,,"John True, inbred by A. Kopp",
Drosophila fuyamai,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,rhopaloa,fuyamai,,14029-0011.01,NCBI GenBank,GCA_018153365.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"229,100,662","4,123,611",lab line,F,,adult,Artyom Kopp,"Kuala Belalong, Ulu Temburong Ntl. Park",,Brunei,2003,Artyom Kopp and Olga Barmina,
Drosophila kurseongensis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,rhopaloa,kurseongensis,SaPa58,,NCBI GenBank,GCA_018153305.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"206,440,819","10,767,929",lab line,F,,adult,Artyom Kopp,SaPa,,Vietnam,2009,"Collected by H. Takamori, sent to AK by T. Matsuo",
Drosophila rhopaloa,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,rhopaloa,rhopaloa,,14029-0021.01,NCBI RefSeq,GCF_018152115.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"193,508,231","15,806,012",lab line,MF,,adult,Artyom Kopp,BaVi,,Vietnam,2004,Hisaki Takamori,
Drosophila carrolli,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,rhopaloa,carrolli,KB866,,NCBI GenBank,GCA_018152295.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"231,219,246","14,004,682",lab line,MF,,adult,Artyom Kopp,"Kuala Belalong, Ulu Temburong Ntl. Park",,Brunei,2003,Artyom Kopp and Olga Barmina,
Drosophila biarmipes,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,suzukii,biarmipes,raj3,,NCBI RefSeq,GCF_025231255.1,? Zhao lab,PacBio Sequel + Illumina,"193,597,863","26,917,925",lab line,F,,adult,,,,,,,
Drosophila subpulchrella,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,suzukii,subpulchrella,33 F10 #4 (Ehime NGN6),,NCBI RefSeq,GCF_014743375.2,"Durkin et al. 2021, MBE",PacBio Sequel + Illumina,"265,153,789","11,590,999",lab line,F,,adult,,,,,,,
Drosophila suzukii,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,suzukii,suzukii,WT3_2.0,,NCBI RefSeq,GCF_013340165.1,"Paris et al. 2020, Sci Reports",PacBio HiFi,"268,012,156","2,609,782",,F,40,adult,,,,,,,
Drosophila mimetica,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,suzukii,mimetica,,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"171,388,303","31,089,734",lab line,M,50,adult,Artyom Kopp,,,Brunei,,Artyom Kopp,
Drosophila takahashii,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,takahashii,takahashii,IR98-3 E-12201,,NCBI RefSeq,GCF_018152695.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"165,528,346","12,380,692",lab line,F,,adult,Sarah Elgin,Okinawa,,Japan,1998,Ehime then inbred by A. Kopp,
Drosophila lutescens,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,takahashii,lutescens,(BGS) 3387.1,14022-0271.00,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"186,166,801","883,799",lab line,F,50,adult,Zee Syed/DEP,"Mito, Honshu",,Japan,1976,NDSSC,
Drosophila pseudotakahashii,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,takahashii,pseudotakahashii,PH 171,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"191,280,646","5,880,140",lab line,F,25,adult,Jan Hrcek,"Paluma, Queensland","-19.0064333, 146.2122",Australia,2018,Jan Hrcek,
Drosophila prostipennis,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,takahashii,prostipennis,(BGS) 3146.61,14022-0291.00,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"194,385,441","1,365,863",lab line,F,50,adult,Zee Syed/DEP,Wulai,,Taiwan,1968,NDSSC,
Drosophila eugracilis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,eugracilis,eugracilis,,14026-0451.02,NCBI RefSeq,GCF_018153835.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"164,811,307","2,288,481",lab line,F,,adult,,,,,,,
Drosophila melanogaster,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,melanogaster,melanogaster,BDGP iso-1,14021-0231.36,NCBI RefSeq,GCF_000001215.4,"dos Santos et al. 2015, Nuc Acids Res",,"143,726,002","25,286,936",lab line,M,,,,,,,,,
Drosophila simulans,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,melanogaster,simulans,w501,,NCBI RefSeq,GCF_016746395.2,Andolfatto lab,PB RS II + Illumina,"131,663,590","23,399,903",lab line,F,,,,,,,,,
Drosophila mauritiana,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,melanogaster,mauritiana,mau12,,NCBI RefSeq,GCF_004382145.1,"Chakraborty et al. 2021, Genome Res",PB RS II + Illumina,"152,313,266","24,228,064",lab line,M,,adult,,,,,,,
Drosophila sechellia,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,melanogaster,sechellia,sech25,,NCBI RefSeq,GCF_004382195.2,"Chakraborty et al. 2021, Genome Res",PB RS II + Illumina,"153,084,571","24,956,976",lab line,M,,adult,,,,,,,
Drosophila orena,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,melanogaster,orena,,14021-0245.01,NCBI GenBank,GCA_005876975.1,"Clark, Long labs",PB Sequel + Illumina,"182,891,478","5,273,554",lab line,,,adult,,Ngemba,,Cameroon,,Drosophila stocks of Ehime University,
Drosophila erecta,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,melanogaster,erecta,,"14021-0224.00,06,07",NCBI RefSeq,GCF_003286155.1,"Clark, Long labs",PB Sequel + Illumina,"146,538,397","22,146,549",lab line,MF,,adult,,,,,,,
Drosophila teissieri,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,melanogaster,teissieri,GT53w,,NCBI RefSeq,GCF_016746235.2,Andolfatto lab,PB RS II + Illumina,"149,494,471","24,551,875",lab line,F,,adult,,,,Gabon,2002,,
Drosophila santomea,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,melanogaster,santomea,STO CAGO 1482,,NCBI RefSeq,GCF_016746245.2,Andolfatto lab,PB RS II + Illumina,"146,800,522","25,621,868",lab line,F,600,adult,,Sao Tome,,Sao Tome and Principe,2001,,
Drosophila yakuba,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,melanogaster,yakuba,Tai18E2,14021-0261.01,NCBI RefSeq,GCF_016746365.2,Andolfatto lab,PB RS II + Illumina,"147,899,117","25,180,761",lab line,F,600,adult,,,,Cote d'Ivoire,1983,,
Drosophila pectinifera,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,pectinifera,2112,14028-0731.00,NCBI GenBank,GCA_008042775.1,"Bronski et al. 2020, G3",Illumina,"149,209,000","102,287",lab line,F,3,adult,,,,,,M. Watada,
Drosophila trapezifrons,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,trapezifrons,Bavi31,,NCBI GenBank,GCA_018874455.1,"Conner et al. 2021, MPE",Illumina,"151,600,198","5,059",lab line,MF,10+10,adult,,BaVi,,Vietnam,,,
Drosophila fengkainensis,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,fengkainensis,XT33,,NCBI GenBank,GCA_018874535.1,"Conner et al. 2021, MPE",Illumina,"158,250,599","3,050",lab line,MF,10+10,adult,,Xitou,,Taiwan,,,flagged as anomalous: contaminated
Drosophila triauraria,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,triauraria,(BGS) 3075.1,14028-0651.00,NCBI GenBank,GCA_014170255.2,"Torosin et al. 2020, Plos Gen",ONT R9.4.1 + Illumina + Hi-C,"195,275,685","34,538,105",lab line,F,,adult,,Chi Tou,,Taiwan,,,
Drosophila auraria,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,auraria,,14028-0471.01,NCBI GenBank,GCA_008042615.1,"Bronski et al. 2020, G3",Illumina,"197,420,731","48,331",lab line,F,3,adult,,Nopporo,,Japan,1965-July-08,,
Drosophila tani,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,tani,,14020-0011.00,NCBI GenBank,GCA_008042535.1,"Bronski et al. 2020, G3",Illumina,"180,972,673","57,531",lab line,F,3,adult,,"Tiantai, Zhajiang Province",,China,1983,M. Watada,
Drosophila rufa,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,rufa,EH091 iso-C L_3,,NCBI GenBank,GCA_018153105.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"208,439,571","24,719,385",lab line,F,,adult,,Ehime,,Japan,1991,,
Drosophila asahinai,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,asahinai,TKNK40,,NCBI GenBank,GCA_008042795.1,"Bronski et al. 2020, G3",Illumina,"189,050,820","82,718",lab line,F,3,adult,,Kagoshima,,Japan,2002,,
Drosophila lacteicornis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,lacteicornis,E-14104 (ISGB1),,NCBI GenBank,GCA_008044355.1,"Bronski et al. 2020, G3",Illumina,"182,681,050","70,510",lab line,F,3,adult,,,,,,,
Drosophila baimaii,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,baimaii,,14028-0481.01,NCBI GenBank,GCA_018874675.1,"Conner et al. 2021, MPE",Illumina,"175,823,710","11,973",lab line,MF,10+10,adult,,Khao Yai,,Thailand,,,
Drosophila parvula,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,parvula,PHQ-1,,NCBI GenBank,GCA_018904695.1,"Conner et al. 2021, MPE",Illumina,"143,573,646","11,603",lab line,MF,10+10,adult,,Kinabalu,,Malaysia,,,
Drosophila kanapiae,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,kanapiae,,14028-0541.00,NCBI GenBank,GCA_008042475.1,"Bronski et al. 2020, G3",Illumina,"152,203,088","405,601",lab line,F,3,adult,,"Tagaytay, Luzon",,Philippines,1968,,
Drosophila orosa,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,orosa,,14028-0611.00,NCBI GenBank,GCA_018904745.1,"Conner et al. 2021, MPE",Illumina,"142,361,551","8,688",lab line,MF,10+10,adult,,Khao Yai,,Thailand,,,
Drosophila ogumai,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,ogumai,RGN3,,NCBI GenBank,GCA_018904815.1,"Conner et al. 2021, MPE",Illumina,"134,345,277","26,859",lab line,MF,10+10,adult,,Yangon,,Myanmar,,,
Drosophila lini,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,lini,,14028-0581.00,NCBI GenBank,GCA_018905715.1,"Conner et al. 2021, MPE",Illumina,"133,806,944","12,653",lab line,MF,10+10,adult,,Yun-shui,,Taiwan,,,
Drosophila ohnishii,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,ohnishii,MMY_326,,NCBI GenBank,GCA_018905755.1,"Conner et al. 2021, MPE",Illumina,"133,626,863","6,017",lab line,MF,10+10,adult,,Maymyo,,Myanmar,,,
Drosophila kikkawai,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,kikkawai,,14028-0561.14,NCBI RefSeq,GCF_018152535.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"188,799,863","21,812,520",lab line,F,,adult,,"Caroline Island, Leticia",,Colombia,,"NDSSC, inbred by A. Kopp",
Drosophila bocki,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,bocki,IR2-37,,NCBI GenBank,GCA_008042715.1,"Bronski et al. 2020, G3",Illumina,"151,202,254","80,877",lab line,F,3,adult,,Okinawa,,Japan,1979,,
Drosophila leontia,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,leontia,RGN 210-13,,NCBI GenBank,GCA_008042735.1,"Bronski et al. 2020, G3",Illumina,"164,601,511","25,943",lab line,F,3,adult,,,,,,M. Watada,
Drosophila watanabei,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,watanabei,,14028-0531.02,NCBI GenBank,GCA_008042575.1,"Bronski et al. 2020, G3",Illumina,"196,825,890","33,883",lab line,F,3,adult,,Siem Reap,,Cambodia,1968-Mar-09,BGS,
Drosophila punjabiensis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,punjabiensis,MYS-170-D,14028-0531.01,NCBI GenBank,GCA_008042585.1,"Bronski et al. 2020, G3",Illumina,"192,339,030","77,693",lab line,F,3,adult,,,,,,,
Drosophila serrata,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,serrata,PLE 108,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"174,651,249","3,425,968",lab line,F,30,adult,Jan Hrcek,"Paluma, Queensland","-18.98385, 146.23493333333334",Australia,2017,Eleanor O'Brien,
Drosophila bunnanda,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,bunnanda,KLE 127,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"157,914,859","20,725,587",lab line,F,30,adult,Jan Hrcek,"Kirrama, Queensland","-18.2022333, 145.88503333333333",Australia,2017,Eleanor O'Brien,
Drosophila aff bicornuta,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,aff bicornuta,,14028-0511.01,NCBI SRA,SRR13188910,"Conner et al. 2021, MPE",Illumina PE,"146,235,831","53,255",lab line,MF,10+10,adult,,Ken-ting,,Taiwan,,,
Drosophila truncata,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,truncata,RGN23,,NCBI GenBank,GCA_008042515.1,"Bronski et al. 2020, G3",Illumina,"167,897,087","127,470",lab line,F,3,adult,,,,,,M. Watada,
Drosophila birchii,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,birchii,DM11,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"161,964,435","20,240,225",lab line,F,30,adult,Jan Hrcek,"Dinden, Queensland","-16.9384111, 145.6102",Australia,2022,Jan Hrcek,
Drosophila mayri,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,mayri,,14028-0591.01,NCBI GenBank,GCA_008042485.1,"Bronski et al. 2020, G3",Illumina,"167,897,087","25,943",lab line,F,3,adult,,Papua,,Papua New Guinea,1961-Aug-26,,
Drosophila anomelani,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,anomelani,Dano_JD,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"170,599,943","20,772,541",lab line,F,50,adult,Zee Syed/DEP,,,India,,Jean David (via Artyom Kopp),
Drosophila barbarae,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,barbarae,,14028-0491.04,NCBI GenBank,GCA_018874595.1,"Conner et al. 2021, MPE",Illumina,"113,181,336","3,072",lab line,MF,10+10,adult,,Ulu Temburong National Park,,Boreno,,,
Drosophila jambulina,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,jambulina,,14028-0671.01,NCBI GenBank,GCA_018152175.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"179,653,633","24,616,268",lab line,MF,,adult,,Islamabad,,Pakistan,,,
Drosophila greeni,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,greeni,,14028-0712.00,NCBI GenBank,GCA_018874515.1,"Conner et al. 2021, MPE",Illumina,"112,789,423","2,253",lab line,MF,10+10,adult,,Lamto,,Cote d'Ivoire,,,
Drosophila malagassya,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,malagassya,J6,,NCBI GenBank,GCA_018874475.1,"Conner et al. 2021, MPE",Illumina,"143,663,510","4,435",lab line,MF,10+10,adult,,,,Madagascar,,,flagged as anomalous: contaminated
Drosophila seguyi,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,seguyi,,14028-0671.02,NCBI GenBank,GCA_008042675.1,"Bronski et al. 2020, G3",Illumina,"178,856,532","88,705",lab line,F,3,adult,,Yaounde,,Cameroon,2023-Mar,John Pool,
Drosophila vulcana,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,vulcana,,14028-0711.00,NCBI GenBank,GCA_008042555.1,"Bronski et al. 2020, G3",Illumina,"187,578,810","79,402",lab line,F,3,adult,,Mount Selinda,,Zimbabwe,1971-Sep,BGS,flagged as anomalous: contaminated
Drosophila bakoue,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,bakoue,Sao Tome Light,,NCBI GenBank,GCA_008044335.1,"Bronski et al. 2020, G3",Illumina,"187,248,584","38,013",lab line,F,3,adult,,Sao Tome Island,,Sao Tome and Principe,,Amir Yassin and Jean David,flagged as anomalous: contaminated
Drosophila tsacasi,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,tsacasi,,14028-0701.00,NCBI GenBank,GCA_018904565.1,"Conner et al. 2021, MPE",Illumina,"144,985,661","23,504",lab line,MF,10+10,adult,,,,Cote d'Ivoire,,,
Drosophila aff tsacasi,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,aff tsacasi,CC,,NCBI GenBank,GCA_018874355.1,"Conner et al. 2021, MPE",Illumina,"152,543,408","6,286",lab line,MF,10+10,adult,,Bioko,,Equatorial Guinea,,,formerly D. curta
Drosophila nikananu,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,nikananu,,14028-0601.01,NCBI GenBank,GCA_008042635.1,"Bronski et al. 2020, G3",Illumina,"190,505,469","29,794",lab line,F,3,adult,,Lake Awing on slopes of Mt Lefo,,Cameroon,2003-Oct-21,C. McBride,
Drosophila diplacantha,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,diplacantha,,14028-0586.00,NCBI GenBank,GCA_018874655.1,"Conner et al. 2021, MPE",Illumina,"117,734,998","2,269",lab line,MF,10+10,adult,,,,Cameroon,,,
Drosophila cf bocqueti,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,cf bocqueti,,14028-0771.00,NCBI GenBank,GCA_018905785.1,"Conner et al. 2021, MPE",Illumina,"134,382,429","9,908",lab line,MF,10+10,adult,,,,Cameroon,,,
Drosophila bocqueti,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,bocqueti,YAK3_mont-66,,NCBI GenBank,GCA_018151655.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"173,041,441","20,206,544",lab line,M,,adult,Daniel Matute,Sao Tome Island,,Sao Tome and Principe,,Brandon Cooper,
Drosophila cf chauvacae,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,cf chauvacae,,14028-0761.00,NCBI GenBank,GCA_018905695.1,"Conner et al. 2021, MPE",Illumina,"133,641,973","13,011",lab line,MF,10+10,adult,,,,,,,
Drosophila burlai,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,burlai,light 11X,14028-0781.00,NCBI GenBank,GCA_008042655.1,"Bronski et al. 2020, G3",Illumina,"175,666,184","31,899",lab line,F,3,adult,,,,,,,
Drosophila sp aff chauvacae,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster/montium,montium,sp aff chauvacae,mont_up-71,,NCBI GenBank,GCA_018903765.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"212,108,578","5,345,913",lab line,M,,adult,,Sao Tome Island,"0.284,6.598",Sao Tome and Principe,,Daniel Matute,
Microdrosophila cristata,0,1,Drosophilidae,Drosophilinae,Drosophilini,Microdrosophila,,,,cristata,Mcri_MT41,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"338,688,726",574,wild,F,1,adult,Masanori J. Toda,Sapporo,,Japan,2012-May-30,,
Drosophila busckii,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Dorsilopha,,,busckii,,13000-0081.31,NCBI RefSeq,GCF_011750605.1,"Renschler et al. 2019, Genes Dev",PacBio + Illumina + HiC,"118,492,362","22,692,164",lab line,MF,,embryo + adult,,,,,,,
Zaprionus cf. lineosus,0,1,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,,,,cf. lineosus,Zlin_MT215,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"536,013,414",418,wild,M,1,adult,Masanori J. Toda,"Camp 8, Tofu Bluewen, Harmahera",,Indonesia,2010-Feb-8,,
Phorticella flavipennis,0,1,Drosophilidae,Drosophilinae,Drosophilini,Phorticella,Xenophorticella,,,flavipennis,Pfla_MT158,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"476,383,103",767,wild,M,1,adult,Masanori J. Toda,Iriomote-jima,,Japan,2017-Mar-4,,
Dichaetophora lindae,0,1,Drosophilidae,Drosophilinae,Drosophilini,Dichaetophora,,,,lindae,Dlin_MT57,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"234,284,888",604,wild,F,1,adult,Masanori J. Toda,"Kamou-cho, Kagoshima Pref.",,Japan,2012-Oct-16,,
Dettopsomyia nigrovittata,0,1,Drosophilidae,Drosophilinae,Drosophilini,Dettopsomyia,,,,nigrovittata,Deni_MT38,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"300,801,457",670,wild,F,1,adult,Masanori J. Toda,"Matsuyama, Ehime Pref.",,Japan,2012-Jun-13to20,,
Drosophila repletoides,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,tumiditarsus,,repletoides,ISZ-isoB I-10,,NCBI GenBank,GCA_018150835.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"181,448,104","18,762,850",lab line,M,,adult,Artyom Kopp,,,,,M. Watada,inbred derivative of original strain
Sphaerogastrella javana,0,1,Drosophilidae,Drosophilinae,Drosophilini,Sphaerogastrella,,,,javana,Sjav_MT119,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"491,220,430","1,818",wild,F,1,adult,Masanori J. Toda,"Bogor, W. Java",,Indonesia,2012-Jun-26,,
Liodrosophila aerea,1,1,Drosophilidae,Drosophilinae,Drosophilini,Liodrosophila,,,,aerea,Laer_MT83,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"158,262,486","829,670",wild,F,,adult,Masanori J. Toda,"Matsuyama, Ehime Pref.",,Japan,2012-Oct-8,,
Hypselothyrea guttata,1,1,Drosophilidae,Drosophilinae,Drosophilini,Hypselothyrea,,,,guttata,Hgut_MT124,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"182,534,749","416,894",wild,F,,adult,Masanori J. Toda,"PHQ, Mt. Kinabalu, Sabah",,Malaysia,2008-Mar-16,,
Zaprionus obscuricornis,0,1,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Anaprionus,,,obscuricornis,Zobs_MT162,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"164,064,038","53,364",wild,F,,adult,Masanori J. Toda,"Bogor, West Java, INDONESIA",,Indonesia,2008-Jun-12,,
Zaprionus bogoriensis,1,1,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Anaprionus,,,bogoriensis,PL 11,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"160,681,560","2,433,529",lab line,F,7,adult,Jan Hrcek,"Paluma, Queensland","-18.98385, 146.23493333333334",Australia,2017,Jan Hrcek,
